INSERT INTO t_user_weight VALUES ('1', '200010001', 'zlto','男', '43', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('246', '200010246', 'jatl','男', '31', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('247', '200010247', 'oawu','男', '24', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('248', '200010248', 'zmkx','男', '17', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('249', '200010249', 'odqu','女', '58', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('250', '200010250', 'auij','女', '17', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('251', '200010251', 'vdeb','女', '35', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('252', '200010252', 'tbwf','男', '27', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('253', '200010253', 'ucay','女', '31', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('254', '200010254', 'xcmy','女', '70', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('255', '200010255', 'gdra','女', '84', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('256', '200010256', 'kaiq','男', '37', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('257', '200010257', 'namv','女', '36', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('258', '200010258', 'qwnl','女', '85', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('259', '200010259', 'icbt','女', '70', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('260', '200010260', 'uzcd','女', '93', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('261', '200010261', 'kdrg','男', '27', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('262', '200010262', 'lxqd','男', '32', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('263', '200010263', 'uhej','女', '67', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('264', '200010264', 'ptxk','男', '16', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('265', '200010265', 'hxpz','女', '71', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('266', '200010266', 'uoyn','男', '88', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('267', '200010267', 'awiz','男', '96', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('268', '200010268', 'jarv','男', '73', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('269', '200010269', 'wcuk','男', '10', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('270', '200010270', 'wjlg','男', '17', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('271', '200010271', 'bile','男', '92', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('272', '200010272', 'iagy','男', '58', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('273', '200010273', 'eqdm','男', '45', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('274', '200010274', 'pkcx','男', '11', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('275', '200010275', 'gjqz','女', '76', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('276', '200010276', 'lofc','男', '16', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('277', '200010277', 'woex','男', '93', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('278', '200010278', 'lxvw','女', '22', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('279', '200010279', 'tbre','女', '43', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('280', '200010280', 'hpiz','男', '26', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('281', '200010281', 'fewa','女', '49', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('282', '200010282', 'zvqu','女', '66', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('283', '200010283', 'wylq','男', '80', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('284', '200010284', 'aqgl','男', '34', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('285', '200010285', 'nbpu','女', '56', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('286', '200010286', 'vsou','女', '67', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('287', '200010287', 'rdyh','女', '32', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('288', '200010288', 'beij','男', '97', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('289', '200010289', 'akjr','女', '81', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('290', '200010290', 'xeio','女', '53', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('291', '200010291', 'pcjy','女', '62', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('292', '200010292', 'xmyi','女', '66', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('293', '200010293', 'zxdi','男', '90', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('294', '200010294', 'bfpy','男', '86', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('295', '200010295', 'duys','男', '39', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('296', '200010296', 'yuzk','女', '58', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('297', '200010297', 'ukmc','男', '21', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('298', '200010298', 'btrs','男', '30', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('299', '200010299', 'alpz','女', '91', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('300', '200010300', 'dtyz','女', '39', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('301', '200010301', 'sart','男', '90', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('302', '200010302', 'vmay','男', '17', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('303', '200010303', 'zlxd','女', '16', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('304', '200010304', 'qtgm','男', '84', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('305', '200010305', 'ayxl','女', '90', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('306', '200010306', 'mvlw','男', '40', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('307', '200010307', 'rkah','男', '55', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('308', '200010308', 'megw','男', '13', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('309', '200010309', 'qksn','男', '18', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('310', '200010310', 'idpy','女', '77', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('311', '200010311', 'spiq','男', '62', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('312', '200010312', 'nsvr','女', '16', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('313', '200010313', 'fzsn','男', '90', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('314', '200010314', 'xiho','男', '66', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('315', '200010315', 'mtnq','男', '67', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('316', '200010316', 'joch','男', '31', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('317', '200010317', 'bpnm','男', '89', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('318', '200010318', 'gkry','男', '46', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('319', '200010319', 'xcun','男', '81', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('320', '200010320', 'nzoh','男', '37', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('321', '200010321', 'cqit','男', '17', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('322', '200010322', 'vygu','女', '96', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('323', '200010323', 'pmcy','女', '94', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('324', '200010324', 'kfue','女', '83', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('325', '200010325', 'rzjf','女', '66', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('326', '200010326', 'otue','女', '71', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('327', '200010327', 'yacx','女', '38', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('328', '200010328', 'vfrs','男', '28', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('329', '200010329', 'migq','女', '23', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('330', '200010330', 'njxv','女', '59', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('331', '200010331', 'udbi','女', '67', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('332', '200010332', 'pkye','女', '81', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('333', '200010333', 'bpum','女', '92', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('334', '200010334', 'vfed','男', '72', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('335', '200010335', 'hvjt','男', '79', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('336', '200010336', 'omhq','男', '60', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('337', '200010337', 'zdnu','女', '56', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('338', '200010338', 'vzty','男', '59', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('339', '200010339', 'eglq','女', '10', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('340', '200010340', 'dwzi','男', '43', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('341', '200010341', 'ubjo','女', '29', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('342', '200010342', 'lcvg','女', '24', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('343', '200010343', 'corx','男', '39', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('344', '200010344', 'tzvx','男', '15', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('345', '200010345', 'dvhw','男', '67', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('346', '200010346', 'pjhn','女', '54', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('347', '200010347', 'cfmb','男', '26', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('348', '200010348', 'qzls','男', '49', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('349', '200010349', 'oahe','女', '17', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('350', '200010350', 'lqdy','女', '38', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('351', '200010351', 'fqaj','男', '94', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('352', '200010352', 'hbye','女', '71', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('353', '200010353', 'tlai','男', '74', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('354', '200010354', 'xrao','女', '61', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('355', '200010355', 'vkru','男', '55', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('356', '200010356', 'dnvk','女', '67', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('357', '200010357', 'eyfg','女', '67', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('358', '200010358', 'ivne','男', '37', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('359', '200010359', 'twmj','男', '71', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('360', '200010360', 'xeji','女', '56', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('361', '200010361', 'cjwq','女', '35', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('362', '200010362', 'oswq','女', '52', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('363', '200010363', 'rywu','女', '97', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('364', '200010364', 'qutm','女', '88', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('365', '200010365', 'hbca','女', '50', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('366', '200010366', 'rhep','女', '72', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('367', '200010367', 'cxmg','男', '76', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('368', '200010368', 'tfou','女', '70', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('369', '200010369', 'exco','女', '84', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('370', '200010370', 'fnul','男', '10', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('371', '200010371', 'hlav','男', '91', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('372', '200010372', 'orsv','女', '11', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('373', '200010373', 'dnfb','男', '26', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('374', '200010374', 'rdbg','女', '24', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('375', '200010375', 'xosk','女', '67', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('376', '200010376', 'rbps','女', '43', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('377', '200010377', 'qroc','男', '28', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('378', '200010378', 'bqci','女', '22', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('379', '200010379', 'ebqh','男', '12', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('380', '200010380', 'swvm','女', '45', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('381', '200010381', 'hgkv','女', '15', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('382', '200010382', 'vqaw','女', '60', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('383', '200010383', 'vnba','女', '97', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('384', '200010384', 'ouvc','男', '45', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('385', '200010385', 'ktfb','男', '37', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('386', '200010386', 'qdka','女', '81', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('387', '200010387', 'rgdu','男', '23', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('388', '200010388', 'sqdk','男', '31', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('389', '200010389', 'tyba','女', '80', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('390', '200010390', 'mlta','女', '13', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('391', '200010391', 'qtgr','女', '89', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('392', '200010392', 'asqc','男', '61', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('393', '200010393', 'nhjr','男', '49', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('394', '200010394', 'gamu','女', '65', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('395', '200010395', 'wxlg','男', '14', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('396', '200010396', 'whpu','男', '58', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('397', '200010397', 'qcwr','女', '98', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('398', '200010398', 'rizb','男', '28', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('399', '200010399', 'dmha','女', '89', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('400', '200010400', 'jwpu','男', '44', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('401', '200010401', 'sxyk','女', '18', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('402', '200010402', 'efio','男', '18', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('403', '200010403', 'tsbj','男', '57', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('404', '200010404', 'veab','男', '67', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('405', '200010405', 'jxgd','女', '61', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('406', '200010406', 'bjyi','男', '16', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('407', '200010407', 'aedv','男', '43', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('408', '200010408', 'zwmy','男', '17', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('409', '200010409', 'zfdm','女', '37', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('410', '200010410', 'brhy','女', '22', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('411', '200010411', 'qvmk','女', '63', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('412', '200010412', 'wilu','男', '51', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('413', '200010413', 'ucbm','女', '94', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('414', '200010414', 'erfz','男', '19', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('415', '200010415', 'mrsh','男', '75', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('416', '200010416', 'kfvd','女', '33', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('417', '200010417', 'tnli','女', '43', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('418', '200010418', 'jdbt','男', '14', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('419', '200010419', 'zady','男', '64', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('420', '200010420', 'knsx','男', '62', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('421', '200010421', 'yzjw','男', '67', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('422', '200010422', 'jxiq','男', '28', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('423', '200010423', 'ldku','男', '77', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('424', '200010424', 'cyvo','男', '54', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('425', '200010425', 'lpej','女', '11', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('426', '200010426', 'kdox','女', '63', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('427', '200010427', 'zhql','男', '70', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('428', '200010428', 'bcfu','男', '12', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('429', '200010429', 'curo','男', '80', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('430', '200010430', 'mjds','女', '46', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('431', '200010431', 'nump','男', '35', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('432', '200010432', 'zwdt','女', '40', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('433', '200010433', 'bczs','男', '83', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('434', '200010434', 'ikxo','男', '17', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('435', '200010435', 'xfcd','女', '96', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('436', '200010436', 'vism','女', '58', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('437', '200010437', 'qsmp','男', '81', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('438', '200010438', 'wago','男', '51', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('439', '200010439', 'dxgc','女', '25', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('440', '200010440', 'xgeb','女', '57', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('441', '200010441', 'wtom','男', '25', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('442', '200010442', 'olgv','男', '77', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('443', '200010443', 'ltro','女', '12', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('444', '200010444', 'wesx','女', '32', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('445', '200010445', 'cgma','男', '87', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('446', '200010446', 'pwzk','男', '23', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('447', '200010447', 'mzkt','男', '90', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('448', '200010448', 'caof','男', '81', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('449', '200010449', 'auow','女', '71', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('450', '200010450', 'kusy','女', '72', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('451', '200010451', 'jghd','女', '96', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('452', '200010452', 'gnkt','女', '67', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('453', '200010453', 'giwd','女', '74', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('454', '200010454', 'qurd','女', '87', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('455', '200010455', 'fzxl','男', '98', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('456', '200010456', 'alck','男', '63', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('457', '200010457', 'jwqz','男', '16', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('458', '200010458', 'ixok','女', '40', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('459', '200010459', 'pohi','男', '85', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('460', '200010460', 'bfpu','女', '35', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('461', '200010461', 'oqeb','女', '98', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('462', '200010462', 'zrvw','女', '84', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('463', '200010463', 'aioy','女', '83', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('464', '200010464', 'cfqh','女', '75', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('465', '200010465', 'hjky','男', '60', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('466', '200010466', 'erka','男', '49', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('467', '200010467', 'uwxt','女', '44', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('468', '200010468', 'rzva','女', '11', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('469', '200010469', 'smbu','男', '22', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('470', '200010470', 'eiug','女', '76', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('471', '200010471', 'kamv','女', '16', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('472', '200010472', 'nmdf','男', '19', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('473', '200010473', 'smkn','男', '21', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('474', '200010474', 'gcok','女', '98', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('475', '200010475', 'xrst','男', '86', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('476', '200010476', 'bpvx','女', '49', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('477', '200010477', 'ywnj','女', '47', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('478', '200010478', 'kits','女', '19', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('479', '200010479', 'eijx','女', '55', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('480', '200010480', 'zlfw','男', '60', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('481', '200010481', 'mzhk','女', '90', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('482', '200010482', 'srcd','男', '35', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('483', '200010483', 'rejx','男', '42', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('484', '200010484', 'rexh','男', '97', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('485', '200010485', 'ydpz','男', '30', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('486', '200010486', 'qjrh','男', '11', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('487', '200010487', 'ftmx','男', '87', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('488', '200010488', 'mgny','女', '66', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('489', '200010489', 'sntl','男', '69', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('490', '200010490', 'ykgc','男', '24', '上海', '2018-10-29 16:18:43');
